[Mon Mar  7 18:44:55.894 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:45:46.993 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:45:52.374 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:45:56.366 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:45:59.116 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:46:07.806 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:47:12.731 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:47:51.580 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:48:28.904 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:52:46.667 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:53:23.442 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:53:59.341 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:55:03.680 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:55:49.321 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:56:36.688 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 18:57:28.883 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:35:57.816 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:36:21.261 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:37:51.678 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:38:24.513 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:38:52.397 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:39:13.195 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:39:23.875 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:39:27.574 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:39:31.106 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:40:05.560 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 19:41:10.114 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 20:02:34.429 2011] 0.000 sec [scan/2/rel 0 (0,20)] [listing_core]
[Mon Mar  7 20:15:46.010 2011] 0.000 sec [scan/2/rel 0 (0,20)] [listing_core]
[Mon Mar  7 20:48:52.560 2011] 0.000 sec [scan/2/rel 0 (0,20)] [listing_core]
[Mon Mar  7 22:25:55.022 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 23:02:36.006 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Mon Mar  7 23:51:03.449 2011] 0.000 sec [scan/2/rel 0 (0,20)] [listing_core]
[Tue Mar  8 00:10:49.331 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:12:31.823 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:35:51.901 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:35:59.235 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:36:11.100 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:39:53.187 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:40:05.622 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:40:14.012 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:41:11.395 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:41:59.692 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:42:33.395 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:43:03.781 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:43:45.803 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:44:02.712 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:44:35.004 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:44:51.718 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:45:20.620 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:45:30.260 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:45:38.804 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:45:49.374 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:45:54.543 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:46:29.314 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:46:58.591 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:47:44.200 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:48:01.686 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:48:23.800 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:48:26.026 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:48:32.536 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] falcor
[Tue Mar  8 00:48:46.236 2011] 0.000 sec [all/2/ext 0 (0,20)] [listing_core] falcorn
[Tue Mar  8 00:50:50.917 2011] 0.000 sec [scan/2/ext 2 (0,20)] [listing_core]
[Tue Mar  8 00:51:05.095 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 00:51:17.597 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 00:51:21.200 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 00:51:29.852 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 00:52:24.711 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 00:52:28.504 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 00:52:35.945 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 17:37:17.977 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] llama
[Tue Mar  8 17:39:06.023 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 17:39:14.745 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 17:44:35.735 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] bob
[Tue Mar  8 17:48:35.573 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Tue Mar  8 17:48:49.376 2011] 0.000 sec [all/2/ext 0 (0,20)] [listing_core] cat
[Tue Mar  8 17:48:56.915 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] china
[Tue Mar  8 17:49:09.447 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] wellington
[Tue Mar  8 17:49:23.158 2011] 0.000 sec [all/2/ext 1 (0,20)] [listing_core] wellington
[Thu Mar 10 11:43:19.976 2011] 0.102 sec [all/2/ext 1 (0,20)] [listing_core] bob
[Thu Mar 10 11:44:32.992 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Thu Mar 10 11:48:51.315 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Thu Mar 10 11:50:01.020 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Thu Mar 10 11:50:15.912 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Thu Mar 10 11:50:27.033 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
[Thu Mar 10 11:51:14.940 2011] 0.000 sec [scan/2/ext 3 (0,20)] [listing_core]
